subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
CL:0000000	oboInOwl:hasDbXref	FBbt:00007002	semapv:UnspecifiedMatching	cell	cell
CL:0000000	oboInOwl:hasDbXref	FMA:68646	semapv:UnspecifiedMatching	cell	Cell
CL:0000000	oboInOwl:hasDbXref	GO:0005623	semapv:UnspecifiedMatching	cell	obsolete cell
CL:0000000	oboInOwl:hasDbXref	MESH:D002477	semapv:UnspecifiedMatching	cell	
CL:0000000	oboInOwl:hasDbXref	VHOG:0001533	semapv:UnspecifiedMatching	cell	
CL:0000000	oboInOwl:hasDbXref	WBbt:0004017	semapv:UnspecifiedMatching	cell	Cell
CL:0000000	oboInOwl:hasDbXref	XAO:0003012	semapv:UnspecifiedMatching	cell	cell
CL:0000000	oboInOwl:hasDbXref	ZFA:0009000	semapv:UnspecifiedMatching	cell	cell
CL:0000001	oboInOwl:hasDbXref	BTO:0002290	semapv:UnspecifiedMatching	primary cultured cell	primary cell line
CL:0000003	oboInOwl:hasDbXref	CARO:0000013	semapv:UnspecifiedMatching	obsolete native cell	cell
CL:0000006	oboInOwl:hasDbXref	ZFA:0009001	semapv:UnspecifiedMatching	neuronal receptor cell	receptor cell (sensu Animalia)
CL:0000007	oboInOwl:hasDbXref	ZFA:0009002	semapv:UnspecifiedMatching	early embryonic cell (metazoa)	early embryonic cell
CL:0000008	oboInOwl:hasDbXref	ZFA:0007091	semapv:UnspecifiedMatching	migratory cranial neural crest cell	migratory cranial neural crest cell
CL:0000010	oboInOwl:hasDbXref	MESH:D002478	semapv:UnspecifiedMatching	cultured cell	
CL:0000011	oboInOwl:hasDbXref	ZFA:0007095	semapv:UnspecifiedMatching	migratory trunk neural crest cell	migratory trunk neural crest cell
CL:0000014	oboInOwl:hasDbXref	FBbt:00004861	semapv:UnspecifiedMatching	germ line stem cell	germline stem cell
CL:0000014	oboInOwl:hasDbXref	ZFA:0005956	semapv:UnspecifiedMatching	germ line stem cell	germline stem cell
CL:0000015	oboInOwl:hasDbXref	FMA:72290	semapv:UnspecifiedMatching	male germ cell	Sperm cell
CL:0000015	oboInOwl:hasDbXref	MA:0002765	semapv:UnspecifiedMatching	male germ cell	male germ cell
CL:0000015	oboInOwl:hasDbXref	VHOG:0001531	semapv:UnspecifiedMatching	male germ cell	
CL:0000016	oboInOwl:hasDbXref	FBbt:00004929	semapv:UnspecifiedMatching	male germ line stem cell	male germline stem cell
CL:0000017	oboInOwl:hasDbXref	BTO:0001275	semapv:UnspecifiedMatching	spermatocyte	spermatocyte
CL:0000017	oboInOwl:hasDbXref	EMAPA:31484	semapv:UnspecifiedMatching	spermatocyte	spermatocyte
CL:0000017	oboInOwl:hasDbXref	FBbt:00004936	semapv:UnspecifiedMatching	spermatocyte	spermatocyte
CL:0000017	oboInOwl:hasDbXref	FMA:84049	semapv:UnspecifiedMatching	spermatocyte	Spermatocyte
CL:0000017	oboInOwl:hasDbXref	WBbt:0006799	semapv:UnspecifiedMatching	spermatocyte	spermatocyte
CL:0000017	oboInOwl:hasDbXref	ZFA:0009005	semapv:UnspecifiedMatching	spermatocyte	spermatocyte
CL:0000018	oboInOwl:hasDbXref	BTO:0001274	semapv:UnspecifiedMatching	spermatid	spermatid
CL:0000018	oboInOwl:hasDbXref	EMAPA:31486	semapv:UnspecifiedMatching	spermatid	spermatid
CL:0000018	oboInOwl:hasDbXref	FBbt:00004942	semapv:UnspecifiedMatching	spermatid	spermatid
CL:0000018	oboInOwl:hasDbXref	FMA:72294	semapv:UnspecifiedMatching	spermatid	Spermatid
CL:0000018	oboInOwl:hasDbXref	WBbt:0006800	semapv:UnspecifiedMatching	spermatid	spermatid
CL:0000018	oboInOwl:hasDbXref	ZFA:0005769	semapv:UnspecifiedMatching	spermatid	spermatid
CL:0000019	oboInOwl:hasDbXref	BTO:0001277	semapv:UnspecifiedMatching	sperm	spermatozoon
CL:0000019	oboInOwl:hasDbXref	BTO:0002046	semapv:UnspecifiedMatching	sperm	spermatozoid
CL:0000019	oboInOwl:hasDbXref	FBbt:00004954	semapv:UnspecifiedMatching	sperm	spermatozoon
CL:0000019	oboInOwl:hasDbXref	FMA:67338	semapv:UnspecifiedMatching	sperm	Mature sperm cell
CL:0000019	oboInOwl:hasDbXref	WBbt:0006798	semapv:UnspecifiedMatching	sperm	sperm
CL:0000019	oboInOwl:hasDbXref	ZFA:0009006	semapv:UnspecifiedMatching	sperm	sperm
CL:0000020	oboInOwl:hasDbXref	BTO:0000958	semapv:UnspecifiedMatching	spermatogonium	spermatogonium
CL:0000020	oboInOwl:hasDbXref	EMAPA:31482	semapv:UnspecifiedMatching	spermatogonium	spermatogonium
CL:0000020	oboInOwl:hasDbXref	FBbt:00004934	semapv:UnspecifiedMatching	spermatogonium	primary gonial cell
CL:0000020	oboInOwl:hasDbXref	FBbt:00004935	semapv:UnspecifiedMatching	spermatogonium	spermatogonium
CL:0000020	oboInOwl:hasDbXref	FMA:72291	semapv:UnspecifiedMatching	spermatogonium	Spermatogonium
CL:0000020	oboInOwl:hasDbXref	ZFA:0009007	semapv:UnspecifiedMatching	spermatogonium	spermatogonium
CL:0000021	oboInOwl:hasDbXref	MA:0000388	semapv:UnspecifiedMatching	female germ cell	female germ cell
CL:0000021	oboInOwl:hasDbXref	VHOG:0001530	semapv:UnspecifiedMatching	female germ cell	
CL:0000022	oboInOwl:hasDbXref	FBbt:00004873	semapv:UnspecifiedMatching	female germ line stem cell	female germline stem cell
CL:0000023	oboInOwl:hasDbXref	BTO:0000964	semapv:UnspecifiedMatching	oocyte	oocyte
CL:0000023	oboInOwl:hasDbXref	FBbt:00004886	semapv:UnspecifiedMatching	oocyte	oocyte
CL:0000023	oboInOwl:hasDbXref	FMA:18644	semapv:UnspecifiedMatching	oocyte	Oocyte
CL:0000023	oboInOwl:hasDbXref	MESH:D009865	semapv:UnspecifiedMatching	oocyte	
CL:0000023	oboInOwl:hasDbXref	WBbt:0006797	semapv:UnspecifiedMatching	oocyte	oocyte
CL:0000023	oboInOwl:hasDbXref	ZFA:0001109	semapv:UnspecifiedMatching	oocyte	oocyte
CL:0000024	oboInOwl:hasDbXref	FMA:83673	semapv:UnspecifiedMatching	oogonial cell	Oogonium
CL:0000024	oboInOwl:hasDbXref	ZFA:0005878	semapv:UnspecifiedMatching	oogonial cell	oogonia
CL:0000025	oboInOwl:hasDbXref	BTO:0000369	semapv:UnspecifiedMatching	egg cell	egg
CL:0000025	oboInOwl:hasDbXref	BTO:0003801	semapv:UnspecifiedMatching	egg cell	ovum
CL:0000025	oboInOwl:hasDbXref	FBbt:00057012	semapv:UnspecifiedMatching	egg cell	female germline cell
CL:0000025	oboInOwl:hasDbXref	FMA:67343	semapv:UnspecifiedMatching	egg cell	Ovum
CL:0000025	oboInOwl:hasDbXref	MESH:D010063	semapv:UnspecifiedMatching	egg cell	
CL:0000025	oboInOwl:hasDbXref	ZFA:0001570	semapv:UnspecifiedMatching	egg cell	unfertilized egg
CL:0000026	oboInOwl:hasDbXref	BTO:0000953	semapv:UnspecifiedMatching	invertebrate nurse cell	nurse cell
CL:0000026	oboInOwl:hasDbXref	FBbt:00004878	semapv:UnspecifiedMatching	invertebrate nurse cell	nurse cell
CL:0000029	oboInOwl:hasDbXref	ZFA:0009009	semapv:UnspecifiedMatching	neural crest derived neuron	neuron neural crest derived
CL:0000030	oboInOwl:hasDbXref	ZFA:0009010	semapv:UnspecifiedMatching	glioblast	glioblast
CL:0000031	oboInOwl:hasDbXref	BTO:0000930	semapv:UnspecifiedMatching	neuroblast (sensu Vertebrata)	neuroblast
CL:0000031	oboInOwl:hasDbXref	FMA:70563	semapv:UnspecifiedMatching	neuroblast (sensu Vertebrata)	Neuroblast
CL:0000031	oboInOwl:hasDbXref	ZFA:0009011	semapv:UnspecifiedMatching	neuroblast (sensu Vertebrata)	neuroblast
CL:0000032	oboInOwl:hasDbXref	ZFA:0009012	semapv:UnspecifiedMatching	neuroplacodal cell	neuroplacodal cell
CL:0000034	oboInOwl:hasDbXref	FMA:63368	semapv:UnspecifiedMatching	stem cell	Stem cell
CL:0000034	oboInOwl:hasDbXref	ZFA:0005957	semapv:UnspecifiedMatching	stem cell	stem cell
CL:0000035	oboInOwl:hasDbXref	FMA:70569	semapv:UnspecifiedMatching	single fate stem cell	Unipotent stem cell
CL:0000035	oboInOwl:hasDbXref	ZFA:0009013	semapv:UnspecifiedMatching	single fate stem cell	single fate stem cell
CL:0000037	oboInOwl:hasDbXref	BTO:0000725	semapv:UnspecifiedMatching	hematopoietic stem cell	hematopoietic stem cell
CL:0000037	oboInOwl:hasDbXref	FMA:86475	semapv:UnspecifiedMatching	hematopoietic stem cell	Hemopoietic stem cell
CL:0000037	oboInOwl:hasDbXref	MESH:D006412	semapv:UnspecifiedMatching	hematopoietic stem cell	
