# mapping_set_id: https://w3id.org/commons/ols/mappings/doid.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# other:
#   mapping_set_source: https://www.ebi.ac.uk/ols4/ontologies/doid
#   local_id: doid.ols
# local_name: doid.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MESH: http://id.nlm.nih.gov/mesh/
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   SNOMEDCT_US_2023_03_01: http://snomed.info/id/
#   UMLS_CUI: https://uts.nlm.nih.gov/uts/umls/concept/
#   ICD10CM: https://icd.codes/icd10cm/
#   ICD9CM: http://icd9cm.chrisendres.com/index.php?action=search&srchtext=
#   SNOMEDCT_US_2021_09_01: http://snomed.info/id/
#   ORDO: http://www.orpha.net/ORDO/Orphanet_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   MIM: 'https://omim.org/MIM:'
#   KEGG: http://www.kegg.jp/entry/
#   MEDDRA: http://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   SNOMEDCT_US_2021_07_31: http://snomed.info/id/
#   SNOMEDCT_US_2023_02_28: http://snomed.info/id/
#   SNOMEDCT_US_2020_03_01: http://snomed.info/id/
#   SNOMEDCT_US_2023_10_01: http://snomed.info/id/
#   SNOMEDCT_US_2022_07_31: http://snomed.info/id/
#   SNOMEDCT_US_2023_09_01: http://snomed.info/id/
#   SNOMEDCT_US_2020_09_01: http://snomed.info/id/
#   SNOMEDCT_US_2023_11_01: http://snomed.info/id/
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
DOID:0001816	oboInOwl:hasDbXref	MESH:D006394	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0001816	oboInOwl:hasDbXref	NCI:C3088	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0001816	oboInOwl:hasDbXref	NCI:C9275	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0001816	oboInOwl:hasDbXref	SNOMEDCT_US_2023_03_01:39000009	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0001816	oboInOwl:hasDbXref	UMLS_CUI:C0018923	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0001816	oboInOwl:hasDbXref	UMLS_CUI:C0854893	semapv:UnspecifiedMatching	angiosarcoma	
DOID:0002116	oboInOwl:hasDbXref	UMLS_CUI:C0033999	semapv:UnspecifiedMatching	pterygium	
DOID:0014667	oboInOwl:hasDbXref	MESH:D008659	semapv:UnspecifiedMatching	disease of metabolism	
DOID:0014667	oboInOwl:hasDbXref	NCI:C3235	semapv:UnspecifiedMatching	disease of metabolism	
DOID:0014667	oboInOwl:hasDbXref	SNOMEDCT_US_2023_03_01:75934005	semapv:UnspecifiedMatching	disease of metabolism	
DOID:0014667	oboInOwl:hasDbXref	UMLS_CUI:C0025517	semapv:UnspecifiedMatching	disease of metabolism	
DOID:0040002	oboInOwl:hasDbXref	SNOMEDCT_US_2023_03_01:293586001	semapv:UnspecifiedMatching	aspirin allergy	
DOID:0040002	oboInOwl:hasDbXref	UMLS_CUI:C0004058	semapv:UnspecifiedMatching	aspirin allergy	
DOID:0040003	oboInOwl:hasDbXref	SNOMEDCT_US_2023_03_01:294499007	semapv:UnspecifiedMatching	benzylpenicillin allergy	
DOID:0040003	oboInOwl:hasDbXref	UMLS_CUI:C0571411	semapv:UnspecifiedMatching	benzylpenicillin allergy	
DOID:0040004	oboInOwl:hasDbXref	SNOMEDCT_US_2023_03_01:294505008	semapv:UnspecifiedMatching	amoxicillin allergy	
