# mapping_set_id: https://w3id.org/commons/ols/mappings/go.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# other:
#   mapping_set_source: https://www.ebi.ac.uk/ols4/ontologies/go
#   local_id: go.ols
# local_name: go.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   GO: http://purl.obolibrary.org/obo/GO_
#   RHEA: https://www.rhea-db.org/rhea/
#   Wikipedia: http://en.wikipedia.org/wiki/
#   KEGG_REACTION: 'http://www.genome.jp/dbget-bin/www_bget?rn:'
#   NIF_Subcellular: http://www.neurolex.org/wiki/
#   SO: http://purl.obolibrary.org/obo/SO_
#   RESID: https://proteininformationresource.org/cgi-bin/resid?id=
#   FMA: http://purl.obolibrary.org/obo/FMA_
#   KEGG_PATHWAY: 'http://www.genome.jp/dbget-bin/www_bget?path:'
#   MetaCyc: https://biocyc.org/META/NEW-IMAGE?type=NIL&object=
#   TC: http://www.tcdb.org/tcdb/index.php?tc=
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   InterPro: http://www.ebi.ac.uk/interpro/entry/
#   WIkipedia: http://en.wikipedia.org/wiki/
#   CORUM: https://mips.helmholtz-muenchen.de/corum/?id=
#   PO: http://purl.obolibrary.org/obo/PO_
#   MP: http://purl.obolibrary.org/obo/MP_
#   WIKIPEDIA: http://en.wikipedia.org/wiki/
#   PMID: http://www.ncbi.nlm.nih.gov/pubmed/
#   WBbt: http://purl.obolibrary.org/obo/WBbt_
#   UniPathway: http://www.grenoble.prabi.fr/obiwarehouse/unipathway/upa?upid=
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
GO:0000010	oboInOwl:hasDbXref	RHEA:27794	semapv:UnspecifiedMatching	heptaprenyl diphosphate synthase activity	
GO:0000016	oboInOwl:hasDbXref	RHEA:10076	semapv:UnspecifiedMatching	lactase activity	
GO:0000034	oboInOwl:hasDbXref	RHEA:23688	semapv:UnspecifiedMatching	adenine deaminase activity	
GO:0000050	oboInOwl:hasDbXref	Wikipedia:Urea_cycle	semapv:UnspecifiedMatching	urea cycle	
GO:0000075	oboInOwl:hasDbXref	Wikipedia:Cell_cycle_checkpoint	semapv:UnspecifiedMatching	cell cycle checkpoint signaling	
GO:0000077	oboInOwl:hasDbXref	Wikipedia:DNA_damage_checkpoint	semapv:UnspecifiedMatching	DNA damage checkpoint signaling	
GO:0000077	oboInOwl:hasDbXref	Wikipedia:Postreplication_checkpoint	semapv:UnspecifiedMatching	DNA damage checkpoint signaling	
GO:0000104	oboInOwl:hasDbXref	KEGG_REACTION:R00412	semapv:UnspecifiedMatching	succinate dehydrogenase activity	
GO:0000104	oboInOwl:hasDbXref	RHEA:16357	semapv:UnspecifiedMatching	succinate dehydrogenase activity	
GO:0000107	oboInOwl:hasDbXref	RHEA:24793	semapv:UnspecifiedMatching	imidazoleglycerol-phosphate synthase activity	
GO:0000121	oboInOwl:hasDbXref	RHEA:46084	semapv:UnspecifiedMatching	glycerol-1-phosphatase activity	
GO:0000128	oboInOwl:hasDbXref	Wikipedia:Flocculation	semapv:UnspecifiedMatching	flocculation	
GO:0000140	oboInOwl:hasDbXref	RHEA:17341	semapv:UnspecifiedMatching	acylglycerone-phosphate reductase (NADP+) activity	
GO:0000140	oboInOwl:hasDbXref	RHEA:36175	semapv:UnspecifiedMatching	acylglycerone-phosphate reductase (NADP+) activity	
GO:0000145	oboInOwl:hasDbXref	Wikipedia:Exocyst	semapv:UnspecifiedMatching	exocyst	
GO:0000165	oboInOwl:hasDbXref	Wikipedia:MAPK_cascade	semapv:UnspecifiedMatching	MAPK cascade	
GO:0000171	oboInOwl:hasDbXref	Wikipedia:RNase_MRP	semapv:UnspecifiedMatching	ribonuclease MRP activity	
GO:0000210	oboInOwl:hasDbXref	RHEA:11800	semapv:UnspecifiedMatching	NAD+ diphosphatase activity	
GO:0000215	oboInOwl:hasDbXref	RHEA:23324	semapv:UnspecifiedMatching	tRNA 2'-phosphotransferase activity	
GO:0000225	oboInOwl:hasDbXref	RHEA:11660	semapv:UnspecifiedMatching	N-acetylglucosaminylphosphatidylinositol deacetylase activity	
GO:0000234	oboInOwl:hasDbXref	KEGG_REACTION:R02037	semapv:UnspecifiedMatching	phosphoethanolamine N-methyltransferase activity	
GO:0000234	oboInOwl:hasDbXref	KEGG_REACTION:R06868	semapv:UnspecifiedMatching	phosphoethanolamine N-methyltransferase activity	
GO:0000234	oboInOwl:hasDbXref	RHEA:20365	semapv:UnspecifiedMatching	phosphoethanolamine N-methyltransferase activity	
GO:0000234	oboInOwl:hasDbXref	RHEA:25321	semapv:UnspecifiedMatching	phosphoethanolamine N-methyltransferase activity	
GO:0000234	oboInOwl:hasDbXref	RHEA:25325	semapv:UnspecifiedMatching	phosphoethanolamine N-methyltransferase activity	
GO:0000237	oboInOwl:hasDbXref	Wikipedia:Leptotene	semapv:UnspecifiedMatching	leptotene	
GO:0000238	oboInOwl:hasDbXref	Wikipedia:Zygotene	semapv:UnspecifiedMatching	zygotene	
GO:0000239	oboInOwl:hasDbXref	Wikipedia:Pachytene	semapv:UnspecifiedMatching	pachytene	
GO:0000240	oboInOwl:hasDbXref	Wikipedia:Diplotene	semapv:UnspecifiedMatching	diplotene	
GO:0000241	oboInOwl:hasDbXref	Wikipedia:Diakinesis	semapv:UnspecifiedMatching	diakinesis	
GO:0000246	oboInOwl:hasDbXref	KEGG_REACTION:R05641	semapv:UnspecifiedMatching	delta24(24-1) sterol reductase activity	
GO:0000246	oboInOwl:hasDbXref	RHEA:18501	semapv:UnspecifiedMatching	delta24(24-1) sterol reductase activity	
GO:0000247	oboInOwl:hasDbXref	RHEA:33435	semapv:UnspecifiedMatching	C-8 sterol isomerase activity	
GO:0000249	oboInOwl:hasDbXref	RHEA:33467	semapv:UnspecifiedMatching	C-22 sterol desaturase (NADPH) activity	
GO:0000249	oboInOwl:hasDbXref	RHEA:46576	semapv:UnspecifiedMatching	C-22 sterol desaturase (NADPH) activity	
GO:0000250	oboInOwl:hasDbXref	KEGG_REACTION:R03199	semapv:UnspecifiedMatching	lanosterol synthase activity	
GO:0000250	oboInOwl:hasDbXref	RHEA:14621	semapv:UnspecifiedMatching	lanosterol synthase activity	
GO:0000253	oboInOwl:hasDbXref	RHEA:18409	semapv:UnspecifiedMatching	3-keto sterol reductase activity	
GO:0000253	oboInOwl:hasDbXref	RHEA:34787	semapv:UnspecifiedMatching	3-keto sterol reductase activity	
GO:0000253	oboInOwl:hasDbXref	RHEA:36379	semapv:UnspecifiedMatching	3-keto sterol reductase activity	
GO:0000254	oboInOwl:hasDbXref	RHEA:55220	semapv:UnspecifiedMatching	C-4 methylsterol oxidase activity	
GO:0000257	oboInOwl:hasDbXref	KEGG_REACTION:R00540	semapv:UnspecifiedMatching	nitrilase activity	
GO:0000257	oboInOwl:hasDbXref	RHEA:21724	semapv:UnspecifiedMatching	nitrilase activity	
GO:0000262	oboInOwl:hasDbXref	NIF_Subcellular:sao1186327184	semapv:UnspecifiedMatching	mitochondrial chromosome	
GO:0000277	oboInOwl:hasDbXref	RHEA:24312	semapv:UnspecifiedMatching	[cytochrome c]-lysine N-methyltransferase activity	
GO:0000278	oboInOwl:hasDbXref	Wikipedia:Mitosis	semapv:UnspecifiedMatching	mitotic cell cycle	
GO:0000279	oboInOwl:hasDbXref	Wikipedia:M_phase	semapv:UnspecifiedMatching	M phase	
GO:0000285	oboInOwl:hasDbXref	KEGG_REACTION:R05802	semapv:UnspecifiedMatching	1-phosphatidylinositol-3-phosphate 5-kinase activity	
GO:0000285	oboInOwl:hasDbXref	RHEA:13609	semapv:UnspecifiedMatching	1-phosphatidylinositol-3-phosphate 5-kinase activity	
GO:0000286	oboInOwl:hasDbXref	RHEA:18405	semapv:UnspecifiedMatching	alanine dehydrogenase activity	
