# mapping_set_id: https://w3id.org/commons/ols/mappings/mondo.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# other:
#   mapping_set_source: https://www.ebi.ac.uk/ols4/ontologies/mondo
#   local_id: mondo.ols
# local_name: mondo.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MEDGEN: https://www.ncbi.nlm.nih.gov/medgen/
#   MESH: http://id.nlm.nih.gov/mesh/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OGMS: http://purl.obolibrary.org/obo/OGMS_
#   Orphanet: http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=EN&Expert=
#   SCTID: http://snomed.info/id/
#   UMLS: https://uts.nlm.nih.gov/uts/umls/concept/
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   OMIMPS: https://omim.org/MIM:PS
#   MedDRA: http://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   NANDO: 'https://nanbyodata.jp/disease/NANDO:'
#   HP: http://purl.obolibrary.org/obo/HP_
#   OMIM: https://omim.org/entry/
#   ICD10CM: https://icd.codes/icd10cm/
#   ICD9: http://www.icd9data.com/getICD9Code.ashx?icd9=
#   NDFRT: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NDFRT&code=
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   MFOMD: http://purl.obolibrary.org/obo/MFOMD_
#   HGNC: 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:'
#   Wikipedia: http://en.wikipedia.org/wiki/
#   PMID: http://www.ncbi.nlm.nih.gov/pubmed/
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   DECIPHER: https://www.deciphergenomics.org/syndrome/
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   SCDO: http://purl.obolibrary.org/obo/SCDO_
#   orphanet.ordo: http://www.orpha.net/ORDO/Orphanet_
#   OMIA: 'https://omia.org/phene/omia:'
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
MONDO:0000001	oboInOwl:hasDbXref	DOID:4	semapv:UnspecifiedMatching	disease	disease
MONDO:0000001	oboInOwl:hasDbXref	MEDGEN:4347	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	MESH:D004194	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	NCIT:C2991	semapv:UnspecifiedMatching	disease	Disease or Disorder
MONDO:0000001	oboInOwl:hasDbXref	OGMS:0000031	semapv:UnspecifiedMatching	disease	disease
MONDO:0000001	oboInOwl:hasDbXref	Orphanet:377788	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	SCTID:64572001	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	UMLS:C0012634	semapv:UnspecifiedMatching	disease	
MONDO:0000004	oboInOwl:hasDbXref	DOID:10493	semapv:UnspecifiedMatching	adrenocortical insufficiency	adrenal cortical hypofunction
MONDO:0000004	oboInOwl:hasDbXref	EFO:0009491	semapv:UnspecifiedMatching	adrenocortical insufficiency	adrenocortical insufficiency
MONDO:0000004	oboInOwl:hasDbXref	MEDGEN:589758	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	MESH:D000309	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	NCIT:C26691	semapv:UnspecifiedMatching	adrenocortical insufficiency	Adrenocortical Insufficiency
MONDO:0000004	oboInOwl:hasDbXref	SCTID:386584007	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	UMLS:C0405580	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000005	oboInOwl:hasDbXref	OMIMPS:203655	semapv:UnspecifiedMatching	alopecia, isolated	
MONDO:0000009	oboInOwl:hasDbXref	DOID:2218	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	blood platelet disease
MONDO:0000009	oboInOwl:hasDbXref	OMIMPS:231200	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	
MONDO:0000009	oboInOwl:hasDbXref	UMLS:C0005818	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	
MONDO:0000015	oboInOwl:hasDbXref	MEDGEN:226929	semapv:UnspecifiedMatching	classic complement early component deficiency	
MONDO:0000015	oboInOwl:hasDbXref	SCTID:363009005	semapv:UnspecifiedMatching	classic complement early component deficiency	
MONDO:0000015	oboInOwl:hasDbXref	UMLS:C1285186	semapv:UnspecifiedMatching	classic complement early component deficiency	
