subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
UBERON:0000000	oboInOwl:hasDbXref	BFO:0000003	semapv:UnspecifiedMatching	processual entity	occurrent
UBERON:0000002	oboInOwl:hasDbXref	BTO:0001421	semapv:UnspecifiedMatching	uterine cervix	uterine cervix
UBERON:0000002	oboInOwl:hasDbXref	BTO:0002249	semapv:UnspecifiedMatching	uterine cervix	cervical canal
UBERON:0000002	oboInOwl:hasDbXref	EFO:0000979	semapv:UnspecifiedMatching	uterine cervix	obsolete_cervix
UBERON:0000002	oboInOwl:hasDbXref	EMAPA:29927	semapv:UnspecifiedMatching	uterine cervix	cervix uteri
UBERON:0000002	oboInOwl:hasDbXref	EV:0100114	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	FMA:17740	semapv:UnspecifiedMatching	uterine cervix	Cervix of uterus
UBERON:0000002	oboInOwl:hasDbXref	MA:0000392	semapv:UnspecifiedMatching	uterine cervix	uterine cervix
UBERON:0000002	oboInOwl:hasDbXref	MAT:0000292	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	MESH:D002584	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	NCIT:C12311	semapv:UnspecifiedMatching	uterine cervix	Cervix Uteri
UBERON:0000002	oboInOwl:hasDbXref	SCTID:181453009	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	UMLS:C0007874	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	VHOG:0001359	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	Wikipedia:Cervix	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000003	oboInOwl:hasDbXref	AAO:0000311	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EHDAA2:0001225	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EHDAA:9083	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EMAPA:17847	semapv:UnspecifiedMatching	naris	naris
UBERON:0000003	oboInOwl:hasDbXref	MA:0000282	semapv:UnspecifiedMatching	naris	naris
